box,date,time,pick_time
1,2014-01-06,18:25:20.419484,8930.996000
2,2014-01-06,18:25:30.182627,9763.143000
3,2014-01-06,18:25:39.818273,9635.646000
4,2014-01-06,18:25:49.493841,9675.568000
5,2014-01-06,18:25:59.231811,9737.970000
6,2014-01-06,18:26:08.394961,9163.150000
7,2014-01-06,18:26:17.632003,9237.042000
8,2014-01-06,18:26:26.175995,8543.992000
9,2014-01-06,18:26:35.391136,9215.141000
10,2014-01-06,18:26:45.304826,9913.690000
11,2014-01-06,18:26:55.721240,10416.414000
12,2014-01-06,18:27:05.054730,9333.490000
13,2014-01-06,18:27:16.739068,11684.338000
14,2014-01-06,18:27:26.233687,9494.619000
15,2014-01-06,18:27:35.672583,9438.896000
16,2014-01-06,18:27:44.222313,8549.730000
17,2014-01-06,18:27:53.638783,9416.470000
18,2014-01-06,18:28:03.167356,9528.573000
19,2014-01-06,18:28:12.484991,9317.635000
20,2014-01-06,18:36:00.264002,9789.454000
21,2014-01-06,18:36:10.167466,9903.464000
22,2014-01-06,18:36:19.904052,9736.586000
23,2014-01-06,18:36:29.165754,9261.702000
24,2014-01-06,18:36:38.390446,9224.692000
25,2014-01-06,18:36:47.939047,9548.601000
26,2014-01-06,18:36:57.011020,9071.973000
27,2014-01-06,18:37:06.194354,9183.334000
28,2014-01-06,18:37:15.813452,9619.098000
29,2014-01-06,18:37:27.457563,11644.111000
30,2014-01-06,18:37:38.534690,11077.127000
31,2014-01-06,18:37:49.844018,11309.328000
32,2014-01-06,18:37:59.051590,9207.572000
33,2014-01-06,18:38:08.592235,9540.645000
34,2014-01-06,18:38:18.454765,9862.530000
35,2014-01-06,18:38:27.196632,8741.867000
36,2014-01-06,18:38:36.372221,9175.589000
37,2014-01-06,18:38:46.055901,9683.680000
38,2014-01-06,18:38:55.706332,9650.431000
39,2014-01-06,18:43:26.836897,271130.565000
40,2014-01-06,18:43:38.564713,11727.816000
41,2014-01-06,18:43:50.054545,11489.832000
42,2014-01-06,18:44:01.481959,11427.414000
43,2014-01-06,18:44:16.149118,14667.159000
